isbn,box,comments,date,is_disponible
9782259253352,36,no scan rakuten,12/10/23,
9782738102829,36,no scan rakuten,12/10/23,
9782234061408,36,no scan rakuten,12/10/23,
9782870091081,36,no scan rakuten,12/10/23,
9782070717644,36,no scan rakuten,12/10/23,
9782702143933,36,no scan rakuten,12/10/23,
9982840984188,36,no scan rakuten,12/10/23,
9782226218414,36,no scan rakuten,12/10/23,
9782280283373,36,no scan rakuten,12/10/23,
9782266078429,36,no scan rakuten,12/10/23,
9782280851855,36,no scan rakuten,12/10/23,
9782330038908,37,no scan rakuten,12/10/23,
9782286097929,37,no scan rakuten,12/10/23,
9782841110919,37,no scan rakuten,12/10/23,
9782221093290,37,no scan rakuten,12/10/23,
9782841110438,37,no scan rakuten,12/10/23,
9782908805369,37,no scan rakuten,12/10/23,
9782266218979,37,no scan rakuten,12/10/23,
